,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
133,Adentro de mí,Tango,https://www.todotango.com/musica/tema/9312/Adentro-de-mi/,True,False,False,False,True
135,Adiós [b],Tango,https://www.todotango.com/musica/tema/7280/Adios-[b]/,True,False,False,False,True
139,Adiós a Pompeya,Tango,https://www.todotango.com/musica/tema/6547/Adios-a-Pompeya/,True,False,False,False,True
140,Adiós amor,Tango,https://www.todotango.com/musica/tema/8110/Adios-amor/,True,False,False,False,True
141,Adiós Argentina,Tango,https://www.todotango.com/musica/tema/1714/Adios-Argentina/,True,False,False,False,True
142,Adiós Arolas (Se llamaba Eduardo Ar,Tango,https://www.todotango.com/musica/tema/728/Adios-Arolas-Se-llamaba-Eduardo-Arolas/,True,True,False,False,True
143,Adiós arrabal,Tango,https://www.todotango.com/musica/tema/1020/Adios-arrabal/,True,True,False,True,False
144,Adiós Carlitos,Tango,https://www.todotango.com/musica/tema/4649/Adios-Carlitos/,True,False,False,False,True
145,Adiós Chantecler,Tango,https://www.todotango.com/musica/tema/3048/Adios-Chantecler/,True,False,False,True,False
146,Adiós corazón,Tango,https://www.todotango.com/musica/tema/1383/Adios-corazon/,True,True,False,True,False
148,Adiós maestro,Tango,https://www.todotango.com/musica/tema/2218/Adios-maestro/,True,False,False,False,True
149,Adiós marinero,Tango,https://www.todotango.com/musica/tema/2515/Adios-marinero/,True,False,False,True,False
150,Adiós mi barrio,Tango,https://www.todotango.com/musica/tema/4010/Adios-mi-barrio/,True,False,False,False,True
151,Adiós muchachos,Tango,https://www.todotango.com/musica/tema/596/Adios-muchachos/,True,True,True,True,False
152,Adiós Nonino,Tango,https://www.todotango.com/musica/tema/44/Adios-Nonino/,True,True,True,True,False
153,Adiós pampa mía,Tango,https://www.todotango.com/musica/tema/1240/Adios-pampa-mia/,True,True,True,True,False
154,Adiós para siempre,Tango,https://www.todotango.com/musica/tema/2623/Adios-para-siempre/,True,False,False,False,True
155,Adiós para siempre [b],Tango,https://www.todotango.com/musica/tema/1878/Adios-para-siempre-[b]/,True,False,False,False,True
156,Adiós París,Tango,https://www.todotango.com/musica/tema/7261/Adios-Paris/,True,True,False,False,True
157,Adiós pueblito,Tango,https://www.todotango.com/musica/tema/6255/Adios-pueblito/,True,True,False,False,True
158,Adiós pueblo,Tango,https://www.todotango.com/musica/tema/1697/Adios-pueblo/,True,True,False,False,True
160,Adiós te vas,Tango,https://www.todotango.com/musica/tema/2353/Adios-te-vas/,True,False,False,False,True
162,Adiós… adiós corazón,Tango,https://www.todotango.com/musica/tema/1337/Adios-adios-corazon/,True,False,False,False,True
163,Adolescencia,Tango,https://www.todotango.com/musica/tema/6635/Adolescencia/,True,False,False,False,True
164,Adónde va,Tango,https://www.todotango.com/musica/tema/9730/Adonde-va/,True,False,False,False,True
165,Adónde vas,Tango,https://www.todotango.com/musica/tema/5548/Adonde-vas/,True,False,False,False,True
166,Adónde vas [b],Tango,https://www.todotango.com/musica/tema/8605/Adonde-vas-[b]/,True,False,False,False,True
171,Afiches,Tango,https://www.todotango.com/musica/tema/201/Afiches/,True,False,True,True,False
173,Agonía,Tango,https://www.todotango.com/musica/tema/7864/Agonia/,True,True,False,False,True
174,Agrandao por tu linaje,Tango,https://www.todotango.com/musica/tema/6101/Agrandao-por-tu-linaje/,True,False,False,False,True
175,Agua clara,Tango,https://www.todotango.com/musica/tema/8015/Agua-clara/,True,False,False,False,True
176,Agua florida,Tango,https://www.todotango.com/musica/tema/1713/Agua-florida/,True,False,False,False,False
178,Agua mansa,Tango,https://www.todotango.com/musica/tema/8201/Agua-mansa/,True,True,False,False,True
180,Aguantate Casimiro,Tango,https://www.todotango.com/musica/tema/3796/Aguantate-Casimiro/,True,False,False,False,True
181,Aguante de tango,Tango,https://www.todotango.com/musica/tema/6353/Aguante-de-tango/,True,False,False,False,True
182,Aguante el corazón,Tango,https://www.todotango.com/musica/tema/6713/Aguante-el-corazon/,True,False,False,False,True
184,Aguas turbias,Tango,https://www.todotango.com/musica/tema/7660/Aguas-turbias/,True,True,False,False,True
186,Aguja brava,Tango,https://www.todotango.com/musica/tema/1314/Aguja-brava/,True,False,False,False,True
187,Ahí va el dulce,Tango,https://www.todotango.com/musica/tema/3221/Ahi-va-el-dulce/,True,True,False,False,True
188,Ahí va un tango,Tango,https://www.todotango.com/musica/tema/5970/Ahi-va-un-tango/,True,False,False,True,False
190,Ahora no me conocés,Tango,https://www.todotango.com/musica/tema/1385/Ahora-no-me-conoces/,True,True,False,True,False
193,Aire sin final,Tango,https://www.todotango.com/musica/tema/4794/Aire-sin-final/,True,False,False,True,False
195,Al aire libre,Tango,https://www.todotango.com/musica/tema/2661/Al-aire-libre/,True,False,False,False,True
198,Al compás de un dos por cuatro,Tango,https://www.todotango.com/musica/tema/3855/Al-compas-de-un-dos-por-cuatro/,True,False,False,False,True
199,Al compás de un tango,Tango,https://www.todotango.com/musica/tema/1804/Al-compas-de-un-tango/,True,False,False,False,True
200,Al compás del corazón (Late un cora,Tango,https://www.todotango.com/musica/tema/202/Al-compas-del-corazon-Late-un-corazon/,True,True,True,True,False
201,Al fin de cuentas,Tango,https://www.todotango.com/musica/tema/4238/Al-fin-de-cuentas/,True,False,False,False,True
203,Al futuro Viejo Gasómetro,Tango,https://www.todotango.com/musica/tema/7031/Al-futuro-Viejo-Gasometro/,True,True,False,False,True
205,Al gran campeón,Tango,https://www.todotango.com/musica/tema/3779/Al-gran-campeon/,True,False,False,False,True
208,Al mundo le falta un tornillo,Tango,https://www.todotango.com/musica/tema/58/Al-mundo-le-falta-un-tornillo/,True,False,True,True,False
209,Al pie de la Santa Cruz,Tango,https://www.todotango.com/musica/tema/1366/Al-pie-de-la-Santa-Cruz/,True,True,True,True,False
211,Al poeta del suburbio,Tango,https://www.todotango.com/musica/tema/7857/Al-poeta-del-suburbio/,True,True,False,False,True
214,Al tango lo canto así,Tango,https://www.todotango.com/musica/tema/4852/Al-tango-lo-canto-asi/,True,False,False,False,True
215,Al verla pasar,Tango,https://www.todotango.com/musica/tema/42/Al-verla-pasar/,True,False,False,True,False
216,Al volante del bondi,Tango,https://www.todotango.com/musica/tema/8910/Al-volante-del-bondi/,True,False,False,False,True
217,Alaridos en silencio,Tango,https://www.todotango.com/musica/tema/5290/Alaridos-en-silencio/,True,False,False,True,False
218,Alas bravas,Tango,https://www.todotango.com/musica/tema/7870/Alas-bravas/,True,True,False,False,True
219,Alas caídas,Tango,https://www.todotango.com/musica/tema/941/Alas-caidas/,True,False,False,False,True
221,Alas rotas,Tango,https://www.todotango.com/musica/tema/3753/Alas-rotas/,True,False,False,False,True
222,Alberto Castillo,Tango,https://www.todotango.com/musica/tema/4130/Alberto-Castillo/,True,False,False,False,True
223,Alegre bacán,Tango,https://www.todotango.com/musica/tema/7227/Alegre-bacan/,True,True,False,False,True
224,Alegre bandoneón,Tango,https://www.todotango.com/musica/tema/6873/Alegre-bandoneon/,True,False,False,False,True
225,Alegría,Tango,https://www.todotango.com/musica/tema/791/Alegria/,True,False,False,False,True
226,Alejandra,Tango,https://www.todotango.com/musica/tema/2155/Alejandra/,True,False,False,False,False
228,Alelí,Tango,https://www.todotango.com/musica/tema/1660/Aleli/,True,True,False,True,False
230,Alerta muchachos,Tango,https://www.todotango.com/musica/tema/6505/Alerta-muchachos/,True,False,False,False,True
232,Alfredo Arnold,Tango,https://www.todotango.com/musica/tema/1670/Alfredo-Arnold/,True,False,False,False,True
233,Algo extraño,Tango,https://www.todotango.com/musica/tema/7343/Algo-extrano/,True,False,False,False,True
234,Alguien,Tango,https://www.todotango.com/musica/tema/1402/Alguien/,True,False,False,True,False
235,Alguien le dice al tango,Tango,https://www.todotango.com/musica/tema/1162/Alguien-le-dice-al-tango/,True,False,True,True,False
236,Alguien llamado Falero,Tango,https://www.todotango.com/musica/tema/9906/Alguien-llamado-Falero/,True,False,False,False,True
237,Alguien más que dice adiós,Tango,https://www.todotango.com/musica/tema/7204/Alguien-mas-que-dice-adios/,True,False,False,False,True
238,Algún día volverás,Tango,https://www.todotango.com/musica/tema/2869/Algun-dia-volveras/,True,False,False,False,True
239,Alguna vez lo escucharas,Tango,https://www.todotango.com/musica/tema/7029/Alguna-vez-lo-escucharas/,True,False,False,False,True
240,Alguna vez...,Tango,https://www.todotango.com/musica/tema/996/Alguna-vez/,True,False,False,False,True
241,Alhucema,Tango,https://www.todotango.com/musica/tema/869/Alhucema/,True,False,False,False,True
242,Alice,Tango,https://www.todotango.com/musica/tema/489/Alice/,True,True,False,False,True
244,Allá en el bajo,Tango,https://www.todotango.com/musica/tema/1989/Alla-en-el-bajo/,True,True,False,True,False
245,Allá en el dock,Tango,https://www.todotango.com/musica/tema/8052/Alla-en-el-dock/,True,False,False,False,True
246,Allá en el patio,Tango,https://www.todotango.com/musica/tema/10014/Alla-en-el-patio/,True,True,False,False,True
247,Allá en la ribera,Tango,https://www.todotango.com/musica/tema/4511/Alla-en-la-ribera/,True,False,False,False,True
249,Alma,Tango,https://www.todotango.com/musica/tema/1841/Alma/,True,True,False,False,True
250,Alma argentina,Tango,https://www.todotango.com/musica/tema/7862/Alma-argentina/,True,True,False,False,True
252,Alma de bohemio,Tango,https://www.todotango.com/musica/tema/905/Alma-de-bohemio/,True,True,False,True,False
253,Alma de gigante,Tango,https://www.todotango.com/musica/tema/8152/Alma-de-gigante/,True,False,False,False,True
254,Alma de indio,Tango,https://www.todotango.com/musica/tema/3454/Alma-de-indio/,True,False,False,False,True
255,Alma de loca,Tango,https://www.todotango.com/musica/tema/1203/Alma-de-loca/,True,False,True,False,True
256,Alma de miel (a Discepolín),Tango,https://www.todotango.com/musica/tema/7799/Alma-de-miel-a-Discepolin/,True,False,False,False,True
257,Alma de milonga,Tango,https://www.todotango.com/musica/tema/7482/Alma-de-milonga/,True,True,False,False,True
258,Alma de tango,Tango,https://www.todotango.com/musica/tema/8479/Alma-de-tango/,True,True,False,False,True
259,Alma del bandoneón,Tango,https://www.todotango.com/musica/tema/344/Alma-del-bandoneon/,True,True,False,False,True
261,Alma en pena,Tango,https://www.todotango.com/musica/tema/111/Alma-en-pena/,True,True,True,True,False
265,Alma herida,Tango,https://www.todotango.com/musica/tema/5811/Alma-herida/,True,False,False,False,True
