,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
1854,El poncho del olvido (Me dejaste),Folklore,Estilo,https://www.todotango.com/musica/tema/1785/El-poncho-del-olvido-Me-dejaste/,True,False,False,False,2,True
2366,"Guitarra, guitarra mía",Folklore,Estilo,https://www.todotango.com/musica/tema/803/Guitarra-guitarra-mia/,True,True,True,True,2,True
2451,Homenaje a Saravia,Folklore,Estilo,https://www.todotango.com/musica/tema/3536/Homenaje-a-Saravia/,True,False,False,False,2,True
2740,La mariposa (Gorjeos),Folklore,Estilo,https://www.todotango.com/musica/tema/1782/La-mariposa-Gorjeos/,True,False,False,True,2,True
3964,Paloma herida,Folklore,Estilo,https://www.todotango.com/musica/tema/9168/Paloma-herida/,True,False,False,False,2,True
3968,Palomita robada,Folklore,Estilo,https://www.todotango.com/musica/tema/7784/Palomita-robada/,True,True,False,False,2,True
4150,Pobre gallo bataraz,Folklore,Estilo,https://www.todotango.com/musica/tema/2088/Pobre-gallo-bataraz/,True,True,False,True,2,True
4598,Salve patria,Folklore,Estilo,https://www.todotango.com/musica/tema/3366/Salve-patria/,True,False,False,False,2,True
4605,Sangre criolla [b],Folklore,Estilo,https://www.todotango.com/musica/tema/4819/Sangre-criolla-[b]/,True,True,False,False,2,True
4911,Sureña,Folklore,Estilo,https://www.todotango.com/musica/tema/3845/Surena/,True,False,False,False,2,True
3999,Para quererte nací,Milonga,Cifra,https://www.todotango.com/musica/tema/3810/Para-quererte-naci/,True,True,False,False,4,True
1494,Desgracias de un marido,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3991/Desgracias-de-un-marido/,True,False,False,False,6,True
1566,Doña Juana Rabanito,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3989/Dona-Juana-Rabanito/,True,False,False,False,6,True
1654,El baile de Ña Baldomera,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3995/El-baile-de-na-Baldomera/,True,False,False,False,6,True
2694,"La farra de Rosa ""La piojito""",Poema,Recitado cómico,https://www.todotango.com/musica/tema/3990/La-farra-de-Rosa-La-piojito/,True,False,False,False,6,True
2937,Las viejas solteronas,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3996/Las-viejas-solteronas/,True,False,False,False,6,True
4457,Recetas del Dr. Macanitis,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3992/Recetas-del-Dr-Macanitis/,True,False,False,False,6,True
5064,Testamento de un paisano,Poema,Recitado cómico,https://www.todotango.com/musica/tema/3206/Testamento-de-un-paisano/,True,False,False,False,6,True
332,Amor gitano,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/6997/Amor-gitano/,True,False,False,False,5,True
1220,Coplas y flores,Otros ritmos,Pasodoble,https://www.todotango.com/musica/tema/6589/Coplas-y-flores/,True,False,False,False,5,True
