,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
4813,Sólo un tango más,Tango,Tango,https://www.todotango.com/musica/tema/2958/Solo-un-tango-mas/,True,False,False,False,7,True
4814,Sólo una noche,Tango,Tango,https://www.todotango.com/musica/tema/811/Solo-una-noche/,True,False,False,False,7,True
4815,Solo y triste como ayer,Tango,Tango,https://www.todotango.com/musica/tema/8043/Solo-y-triste-como-ayer/,True,False,False,False,7,True
4817,Soltarnos y ser,Tango,Tango,https://www.todotango.com/musica/tema/3096/Soltarnos-y-ser/,True,False,False,False,7,True
4819,Sombra de mujer,Tango,Tango,https://www.todotango.com/musica/tema/7076/Sombra-de-mujer/,True,False,False,False,7,True
4820,Sombra peregrina,Tango,Tango,https://www.todotango.com/musica/tema/9844/Sombra-peregrina/,True,False,False,False,7,True
4821,Sombras,Tango,Tango,https://www.todotango.com/musica/tema/458/Sombras/,True,True,False,False,7,True
4822,Sombras [b],Tango,Tango,https://www.todotango.com/musica/tema/7214/Sombras-[b]/,True,False,False,False,7,True
4825,Sombras muertas,Tango,Tango,https://www.todotango.com/musica/tema/6294/Sombras-muertas/,True,False,False,False,7,True
4826,Sombras nada más,Tango,Tango,https://www.todotango.com/musica/tema/318/Sombras-nada-mas/,True,False,False,True,7,True
4827,Somos,Tango,Tango,https://www.todotango.com/musica/tema/6920/Somos/,True,False,False,False,7,True
4828,Somos como somos,Tango,Tango,https://www.todotango.com/musica/tema/49/Somos-como-somos/,True,False,False,False,7,True
4830,Somos federados somos,Tango,Tango,https://www.todotango.com/musica/tema/9027/Somos-federados-somos/,True,False,False,False,7,True
4832,Somos los dos,Tango,Tango,https://www.todotango.com/musica/tema/2654/Somos-los-dos/,True,False,False,False,7,True
4834,Son cosas del bandoneón,Tango,Tango,https://www.todotango.com/musica/tema/833/Son-cosas-del-bandoneon/,True,False,False,False,7,True
4835,Son de paco,Tango,Tango,https://www.todotango.com/musica/tema/6531/Son-de-paco/,True,False,False,False,7,True
4836,Soñando,Tango,Tango,https://www.todotango.com/musica/tema/3988/Sonando/,True,True,False,False,7,True
4839,Soñar por la ciudad,Tango,Tango,https://www.todotango.com/musica/tema/5878/Sonar-por-la-ciudad/,True,False,False,True,7,True
4841,Sonaste tiburón,Tango,Tango,https://www.todotango.com/musica/tema/7923/Sonaste-tiburon/,True,True,False,False,7,True
4842,Sonaste viejo,Tango,Tango,https://www.todotango.com/musica/tema/6268/Sonaste-viejo/,True,True,False,False,7,True
4844,Sonatina,Tango,Tango,https://www.todotango.com/musica/tema/916/Sonatina/,True,False,False,False,7,True
4846,Soñé un abrazo,Tango,Tango,https://www.todotango.com/musica/tema/7423/Sone-un-abrazo/,True,False,True,False,7,True
4847,Soñemos,Tango,Tango,https://www.todotango.com/musica/tema/2518/Sonemos/,True,True,False,True,7,True
4851,Soneto con bronca,Tango,Tango,https://www.todotango.com/musica/tema/3969/Soneto-con-bronca/,True,False,False,False,7,True
4853,Sonia,Tango,Tango,https://www.todotango.com/musica/tema/6758/Sonia/,True,True,False,False,7,True
4855,Sonsa,Tango,Tango,https://www.todotango.com/musica/tema/1313/Sonsa/,True,False,False,False,7,True
4857,Sorbos amargos,Tango,Tango,https://www.todotango.com/musica/tema/3557/Sorbos-amargos/,True,True,False,True,7,True
4858,Sorpresa,Tango,Tango,https://www.todotango.com/musica/tema/5171/Sorpresa/,True,False,False,False,7,True
4859,Sos bueno vos también,Tango,Tango,https://www.todotango.com/musica/tema/910/Sos-bueno-vos-tambien/,True,False,False,False,7,True
4860,Sos de Chiclana,Tango,Tango,https://www.todotango.com/musica/tema/2968/Sos-de-Chiclana/,True,True,False,True,7,True
4861,Sos de la Quema,Tango,Tango,https://www.todotango.com/musica/tema/3124/Sos-de-la-Quema/,True,True,False,False,7,True
4862,Sos mujer,Tango,Tango,https://www.todotango.com/musica/tema/7931/Sos-mujer/,True,True,False,False,7,True
4863,Sos reo pero sos derecho,Tango,Tango,https://www.todotango.com/musica/tema/7924/Sos-reo-pero-sos-derecho/,False,True,False,False,7,False
4864,Sos un charlatán,Tango,Tango,https://www.todotango.com/musica/tema/1863/Sos-un-charlatan/,True,False,False,False,7,True
4865,Sos una maquieta,Tango,Tango,https://www.todotango.com/musica/tema/4268/Sos-una-maquieta/,True,True,False,True,7,True
4866,Sos vos? ¡Qué cambiada estas!,Tango,Tango,https://www.todotango.com/musica/tema/850/Sos-vos-Que-cambiada-estas/,True,False,False,False,7,True
4867,Sosegate Feliciano,Tango,Tango,https://www.todotango.com/musica/tema/1815/Sosegate-Feliciano/,True,True,False,False,7,True
4868,Sosiego en la noche,Tango,Tango,https://www.todotango.com/musica/tema/773/Sosiego-en-la-noche/,True,False,False,False,7,True
4869,Sosteniendo recuerdos,Tango,Tango,https://www.todotango.com/musica/tema/2835/Sosteniendo-recuerdos/,True,False,False,False,7,True
4870,Soy,Tango,Tango,https://www.todotango.com/musica/tema/5113/Soy/,True,False,False,False,7,True
4872,Soy cantor [b],Tango,Tango,https://www.todotango.com/musica/tema/5990/Soy-cantor-[b]/,True,False,False,True,7,True
4875,Soy de un lugar,Tango,Tango,https://www.todotango.com/musica/tema/6051/Soy-de-un-lugar/,True,False,False,False,7,True
4877,Soy del noventa,Tango,Tango,https://www.todotango.com/musica/tema/2534/Soy-del-noventa/,True,False,False,True,7,True
4878,Soy del sur,Tango,Tango,https://www.todotango.com/musica/tema/7926/Soy-del-sur/,True,True,False,False,7,True
4879,Soy ese volvedor,Tango,Tango,https://www.todotango.com/musica/tema/6202/Soy-ese-volvedor/,True,False,False,False,7,True
4880,Soy milonguero,Tango,Tango,https://www.todotango.com/musica/tema/4671/Soy-milonguero/,True,True,False,False,7,True
4881,Soy muchacho de la guardia,Tango,Tango,https://www.todotango.com/musica/tema/5516/Soy-muchacho-de-la-guardia/,True,True,False,False,7,True
4882,Soy Penélope,Tango,Tango,https://www.todotango.com/musica/tema/9204/Soy-Penelope/,True,False,False,False,7,True
4883,Soy testigo de tus penas,Tango,Tango,https://www.todotango.com/musica/tema/6655/Soy-testigo-de-tus-penas/,True,False,False,False,7,True
4884,Soy tremendo,Tango,Tango,https://www.todotango.com/musica/tema/594/Soy-tremendo/,True,False,False,False,7,True
4886,Soy un arlequín,Tango,Tango,https://www.todotango.com/musica/tema/348/Soy-un-arlequin/,True,True,False,True,7,True
4887,Soy un circo,Tango,Tango,https://www.todotango.com/musica/tema/980/Soy-un-circo/,True,True,False,False,7,True
4888,Soy un pálido fantasma,Tango,Tango,https://www.todotango.com/musica/tema/3709/Soy-un-palido-fantasma/,True,False,False,False,7,True
4890,Soy un tango así,Tango,Tango,https://www.todotango.com/musica/tema/4774/Soy-un-tango-asi/,True,False,False,True,7,True
4891,Strip tease,Tango,Tango,https://www.todotango.com/musica/tema/6562/Strip-tease/,True,False,False,False,7,True
4892,Su carta no llegó,Tango,Tango,https://www.todotango.com/musica/tema/4390/Su-carta-no-llego/,True,False,False,False,7,True
4894,Subí gorrión,Tango,Tango,https://www.todotango.com/musica/tema/6885/Subi-gorrion/,True,False,False,False,7,True
4895,Subido a sus zapatos,Tango,Tango,https://www.todotango.com/musica/tema/7347/Subido-a-sus-zapatos/,True,False,False,False,7,True
4896,Suburbio,Tango,Tango,https://www.todotango.com/musica/tema/3009/Suburbio/,True,False,False,False,7,True
4897,Suburbio [b],Tango,Tango,https://www.todotango.com/musica/tema/4311/Suburbio-[b]/,True,True,False,False,7,True
4898,Sueño de barrilete,Tango,Tango,https://www.todotango.com/musica/tema/51/Sueno-de-barrilete/,True,True,False,True,7,True
4899,Sueño de cupé,Tango,Tango,https://www.todotango.com/musica/tema/3020/Sueno-de-cupe/,True,False,False,False,7,True
4902,Sueño gardeliano,Tango,Tango,https://www.todotango.com/musica/tema/7193/Sueno-gardeliano/,True,False,False,False,7,True
4903,Sueño malevo,Tango,Tango,https://www.todotango.com/musica/tema/923/Sueno-malevo/,True,False,False,False,7,True
4904,Sueño marchito,Tango,Tango,https://www.todotango.com/musica/tema/7224/Sueno-marchito/,True,False,False,False,7,True
4905,Sueño querido,Tango,Tango,https://www.todotango.com/musica/tema/861/Sueno-querido/,True,False,True,True,7,True
4906,Sueños,Tango,Tango,https://www.todotango.com/musica/tema/4720/Suenos/,True,False,False,False,7,True
4907,Suerte loca,Tango,Tango,https://www.todotango.com/musica/tema/121/Suerte-loca/,True,False,False,True,7,True
4909,Sufra,Tango,Tango,https://www.todotango.com/musica/tema/1132/Sufra/,True,False,False,False,7,True
4910,Sur,Tango,Tango,https://www.todotango.com/musica/tema/372/Sur/,True,True,True,True,7,True
4912,Sus ojos se cerraron,Tango,Tango,https://www.todotango.com/musica/tema/232/Sus-ojos-se-cerraron/,True,True,False,True,7,True
4913,Susanita (Yo me quedo con el tango),Tango,Tango,https://www.todotango.com/musica/tema/2930/Susanita-Yo-me-quedo-con-el-tango/,True,False,False,False,7,True
4914,Suspendo el viajecito,Tango,Tango,https://www.todotango.com/musica/tema/5323/Suspendo-el-viajecito/,True,False,False,False,7,True
4915,T.B.C.,Tango,Tango,https://www.todotango.com/musica/tema/1859/TBC/,True,True,False,True,7,True
4916,Tabaco,Tango,Tango,https://www.todotango.com/musica/tema/148/Tabaco/,True,False,False,True,7,True
4917,Tabernero (El tabernero),Tango,Tango,https://www.todotango.com/musica/tema/1761/Tabernero-El-tabernero/,True,False,False,True,7,True
4918,Tachame la doble,Tango,Tango,https://www.todotango.com/musica/tema/7249/Tachame-la-doble/,True,False,False,False,7,True
4919,Tácito,Tango,Tango,https://www.todotango.com/musica/tema/7042/Tacito/,True,False,False,False,7,True
4920,Taconeando,Tango,Tango,https://www.todotango.com/musica/tema/680/Taconeando/,True,True,True,True,7,True
4922,Tal cual,Tango,Tango,https://www.todotango.com/musica/tema/9541/Tal-cual/,True,False,False,False,7,True
4923,Tal vez (Adiós en flor),Tango,Tango,https://www.todotango.com/musica/tema/7000/Tal-vez-Adios-en-flor/,True,False,False,False,7,True
4924,Tal vez en algún bar,Tango,Tango,https://www.todotango.com/musica/tema/6220/Tal-vez-en-algun-bar/,True,False,False,False,7,True
4926,Tal vez María,Tango,Tango,https://www.todotango.com/musica/tema/8741/Tal-vez-Maria/,True,False,False,False,7,True
4927,Tal vez será mi alcohol,Tango,Tango,https://www.todotango.com/musica/tema/567/Tal-vez-sera-mi-alcohol/,True,False,False,True,7,True
4928,Tal vez será su voz,Tango,Tango,https://www.todotango.com/musica/tema/358/Tal-vez-sera-su-voz/,True,True,False,False,7,True
4929,Talán talán,Tango,Tango,https://www.todotango.com/musica/tema/1187/Talan-talan/,True,True,False,True,7,True
4930,Tambaleantes,Tango,Tango,https://www.todotango.com/musica/tema/9107/Tambaleantes/,True,False,False,False,7,True
4931,También sin vos,Tango,Tango,https://www.todotango.com/musica/tema/7817/Tambien-sin-vos/,True,False,False,False,7,True
4932,Tan grande y tan zonzo,Tango,Tango,https://www.todotango.com/musica/tema/3603/Tan-grande-y-tan-zonzo/,True,True,False,True,7,True
4933,Tan solo por verte,Tango,Tango,https://www.todotango.com/musica/tema/3800/Tan-solo-por-verte/,True,False,False,False,7,True
4934,Tan solo tú,Tango,Tango,https://www.todotango.com/musica/tema/2177/Tan-solo-tu/,True,True,False,True,7,True
4936,Tan sólo un loco amor,Tango,Tango,https://www.todotango.com/musica/tema/5937/Tan-solo-un-loco-amor/,True,True,False,False,7,True
4937,Tangata lisa,Tango,Tango,https://www.todotango.com/musica/tema/2539/Tangata-lisa/,True,False,False,False,7,True
4938,Tango (Voz de tango),Tango,Tango,https://www.todotango.com/musica/tema/568/Tango-Voz-de-tango/,True,False,False,False,7,True
4939,Tango [c],Tango,Tango,https://www.todotango.com/musica/tema/6155/Tango-[c]/,True,False,False,False,7,True
4942,Tango a Gardel,Tango,Tango,https://www.todotango.com/musica/tema/1075/Tango-a-Gardel/,True,False,False,False,7,True
4943,Tango al Nano Serrat,Tango,Tango,https://www.todotango.com/musica/tema/7215/Tango-al-Nano-Serrat/,True,False,False,False,7,True
4944,Tango amigo,Tango,Tango,https://www.todotango.com/musica/tema/3014/Tango-amigo/,True,False,False,True,7,True
4945,Tango argentino,Tango,Tango,https://www.todotango.com/musica/tema/1861/Tango-argentino/,True,False,True,False,7,True
4946,Tango azul,Tango,Tango,https://www.todotango.com/musica/tema/7409/Tango-azul/,True,False,False,False,7,True
4947,Tango bar,Tango,Tango,https://www.todotango.com/musica/tema/8743/Tango-bar/,True,False,False,False,7,True
4949,Tango de Albinoni,Tango,Tango,https://www.todotango.com/musica/tema/3108/Tango-de-Albinoni/,True,False,False,False,7,True
4950,Tango de antes,Tango,Tango,https://www.todotango.com/musica/tema/2836/Tango-de-antes/,True,False,False,False,7,True
4951,Tango de ayer,Tango,Tango,https://www.todotango.com/musica/tema/2094/Tango-de-ayer/,True,False,False,False,7,True
4952,Tango de la luna que yira,Tango,Tango,https://www.todotango.com/musica/tema/3982/Tango-de-la-luna-que-yira/,True,False,False,False,7,True
4953,Tango de la muerte,Tango,Tango,https://www.todotango.com/musica/tema/5550/Tango-de-la-muerte/,True,False,False,False,7,True
4954,Tango de lengue,Tango,Tango,https://www.todotango.com/musica/tema/2096/Tango-de-lengue/,True,False,False,False,7,True
4955,Tango de Montevideo,Tango,Tango,https://www.todotango.com/musica/tema/7825/Tango-de-Montevideo/,True,False,False,False,7,True
4956,Tango de otros tiempos,Tango,Tango,https://www.todotango.com/musica/tema/2360/Tango-de-otros-tiempos/,True,False,False,False,7,True
4957,Tangó de París,Tango,Tango,https://www.todotango.com/musica/tema/7989/Tango-de-Paris/,True,False,False,False,7,True
4958,Tango del recuerdo,Tango,Tango,https://www.todotango.com/musica/tema/7839/Tango-del-recuerdo/,True,False,False,False,7,True
4959,Tango del seductor,Tango,Tango,https://www.todotango.com/musica/tema/5553/Tango-del-seductor/,True,False,False,False,7,True
4960,Tango del vampiro,Tango,Tango,https://www.todotango.com/musica/tema/3967/Tango-del-vampiro/,True,False,False,True,7,True
4961,Tango del ventanero,Tango,Tango,https://www.todotango.com/musica/tema/2329/Tango-del-ventanero/,True,False,False,False,7,True
4962,Tango en Colombia,Tango,Tango,https://www.todotango.com/musica/tema/2359/Tango-en-Colombia/,True,False,False,False,7,True
4964,Tango en Negro,Tango,Tango,https://www.todotango.com/musica/tema/1669/Tango-en-Negro/,True,False,False,False,7,True
4965,Tango es amor,Tango,Tango,https://www.todotango.com/musica/tema/9544/Tango-es-amor/,True,False,False,False,7,True
4966,Tango internacional,Tango,Tango,https://www.todotango.com/musica/tema/7827/Tango-internacional/,True,False,False,True,7,True
4967,Tango lindo,Tango,Tango,https://www.todotango.com/musica/tema/6647/Tango-lindo/,True,False,False,False,7,True
4968,Tango líquido,Tango,Tango,https://www.todotango.com/musica/tema/4138/Tango-liquido/,True,False,False,False,7,True
4970,Tango mío,Tango,Tango,https://www.todotango.com/musica/tema/1971/Tango-mio/,True,True,True,True,7,True
4971,Tango negro,Tango,Tango,https://www.todotango.com/musica/tema/2165/Tango-negro/,True,True,False,False,7,True
4974,Tango oriental,Tango,Tango,https://www.todotango.com/musica/tema/3233/Tango-oriental/,True,False,False,False,7,True
4975,Tango para Elisa,Tango,Tango,https://www.todotango.com/musica/tema/9264/Tango-para-Elisa/,True,False,False,False,7,True
4976,Tango permanente,Tango,Tango,https://www.todotango.com/musica/tema/6946/Tango-permanente/,True,False,False,False,7,True
4977,Tango porteño,Tango,Tango,https://www.todotango.com/musica/tema/883/Tango-porteno/,True,False,False,False,7,True
4978,Tango querido,Tango,Tango,https://www.todotango.com/musica/tema/2336/Tango-querido/,True,False,False,False,7,True
4979,Tango reo,Tango,Tango,https://www.todotango.com/musica/tema/5943/Tango-reo/,True,False,False,False,7,True
4980,Tango santiagueño,Tango,Tango,https://www.todotango.com/musica/tema/7231/Tango-santiagueno/,True,False,False,False,7,True
4981,Tango te cambiaron la pinta,Tango,Tango,https://www.todotango.com/musica/tema/7875/Tango-te-cambiaron-la-pinta/,True,False,False,False,7,True
4982,Tango triste,Tango,Tango,https://www.todotango.com/musica/tema/4867/Tango-triste/,True,False,False,False,7,True
4984,Tango varón,Tango,Tango,https://www.todotango.com/musica/tema/9508/Tango-varon/,True,False,False,False,7,True
4985,Tango viejo,Tango,Tango,https://www.todotango.com/musica/tema/7143/Tango-viejo/,True,False,False,False,7,True
4986,Tango y copas (Otro tango),Tango,Tango,https://www.todotango.com/musica/tema/838/Tango-y-copas-Otro-tango/,True,False,False,False,7,True
4987,Tango y después,Tango,Tango,https://www.todotango.com/musica/tema/5319/Tango-y-despues/,True,False,False,False,7,True
4988,Tango y mugre,Tango,Tango,https://www.todotango.com/musica/tema/6013/Tango-y-mugre/,True,False,False,False,7,True
4989,"Tango, por vos",Tango,Tango,https://www.todotango.com/musica/tema/5221/Tango-por-vos/,True,False,False,False,7,True
4990,Tangón,Tango,Tango,https://www.todotango.com/musica/tema/1961/Tangon/,True,False,False,False,7,True
4991,Tangueando te quiero,Tango,Tango,https://www.todotango.com/musica/tema/823/Tangueando-te-quiero/,True,False,False,False,7,True
4992,Tangueritos,Tango,Tango,https://www.todotango.com/musica/tema/6714/Tangueritos/,True,False,False,False,7,True
4993,Tanguero nuevo (¡Cómo te parecés a,Tango,Tango,https://www.todotango.com/musica/tema/4135/Tanguero-nuevo-Como-te-pareces-a-tu-viejo/,True,False,False,False,7,True
4994,Tanguito de Laura,Tango,Tango,https://www.todotango.com/musica/tema/5543/Tanguito-de-Laura/,True,False,False,False,7,True
4995,Tanguito para Lala,Tango,Tango,https://www.todotango.com/musica/tema/7001/Tanguito-para-Lala/,True,False,False,False,7,True
4996,Tanguito por la que camina bailando,Tango,Tango,https://www.todotango.com/musica/tema/7196/Tanguito-por-la-que-camina-bailando/,True,False,False,False,7,True
4997,Tantas preguntas,Tango,Tango,https://www.todotango.com/musica/tema/7466/Tantas-preguntas/,True,False,False,False,7,True
4998,Tanto,Tango,Tango,https://www.todotango.com/musica/tema/774/Tanto/,True,True,False,False,7,True
4999,Tapera,Tango,Tango,https://www.todotango.com/musica/tema/569/Tapera/,True,False,False,False,7,True
5000,"Taponazo (Che, Ferreyra)",Tango,Tango,https://www.todotango.com/musica/tema/2838/Taponazo-Che-Ferreyra/,True,True,False,False,7,True
5002,Tarareando,Tango,Tango,https://www.todotango.com/musica/tema/4224/Tarareando/,True,True,False,False,7,True
5003,Tarde,Tango,Tango,https://www.todotango.com/musica/tema/679/Tarde/,True,True,False,True,7,True
5005,Tarde gris,Tango,Tango,https://www.todotango.com/musica/tema/271/Tarde-gris/,True,False,False,True,7,True
5007,Tatuaje,Tango,Tango,https://www.todotango.com/musica/tema/5121/Tatuaje/,True,False,False,False,7,True
5008,Tatuaje [b],Tango,Tango,https://www.todotango.com/musica/tema/7248/Tatuaje-[b]/,True,False,False,False,7,True
5009,Taxi mío,Tango,Tango,https://www.todotango.com/musica/tema/1052/Taxi-mio/,True,False,False,True,7,True
5011,Te aconsejo que me olvides,Tango,Tango,https://www.todotango.com/musica/tema/1632/Te-aconsejo-que-me-olvides/,True,True,True,True,7,True
5013,Te amo todavía,Tango,Tango,https://www.todotango.com/musica/tema/6778/Te-amo-todavia/,True,False,False,False,7,True
5014,Te buscan,Tango,Tango,https://www.todotango.com/musica/tema/5907/Te-buscan/,True,False,False,False,7,True
5015,Te camino Buenos Aires,Tango,Tango,https://www.todotango.com/musica/tema/8985/Te-camino-Buenos-Aires/,True,False,False,False,7,True
5017,Te doy lo que tengo,Tango,Tango,https://www.todotango.com/musica/tema/189/Te-doy-lo-que-tengo/,True,False,False,False,7,True
5018,Te espero en Rodríguez Peña,Tango,Tango,https://www.todotango.com/musica/tema/2536/Te-espero-en-Rodriguez-Pena/,True,False,False,True,7,True
5019,Te estaba esperando,Tango,Tango,https://www.todotango.com/musica/tema/1633/Te-estaba-esperando/,True,False,False,False,7,True
5020,Te estoy diciendo adiós,Tango,Tango,https://www.todotango.com/musica/tema/6137/Te-estoy-diciendo-adios/,True,False,False,True,7,True
5022,Te fuiste hermano,Tango,Tango,https://www.todotango.com/musica/tema/3368/Te-fuiste-hermano/,True,False,False,True,7,True
5023,Te fuiste ja ja,Tango,Tango,https://www.todotango.com/musica/tema/1818/Te-fuiste-ja-ja/,True,True,False,True,7,True
5024,Te llama mi violín,Tango,Tango,https://www.todotango.com/musica/tema/1290/Te-llama-mi-violin/,True,False,False,False,7,True
5025,Te llaman malevo,Tango,Tango,https://www.todotango.com/musica/tema/128/Te-llaman-malevo/,True,True,False,True,7,True
5026,Te llaman Soledad,Tango,Tango,https://www.todotango.com/musica/tema/543/Te-llaman-Soledad/,True,False,False,False,7,True
5027,Te llamaremos bandoneón,Tango,Tango,https://www.todotango.com/musica/tema/5546/Te-llamaremos-bandoneon/,True,False,False,False,7,True
5028,Te lloran mis ojos,Tango,Tango,https://www.todotango.com/musica/tema/1223/Te-lloran-mis-ojos/,True,True,False,False,7,True
5029,Te necesito tanto,Tango,Tango,https://www.todotango.com/musica/tema/7127/Te-necesito-tanto/,True,False,False,False,7,True
5030,Te nombro sin llorar,Tango,Tango,https://www.todotango.com/musica/tema/6599/Te-nombro-sin-llorar/,True,False,False,False,7,True
5031,Te odio,Tango,Tango,https://www.todotango.com/musica/tema/109/Te-odio/,True,False,False,True,7,True
5032,Te odio y te quiero,Tango,Tango,https://www.todotango.com/musica/tema/3179/Te-odio-y-te-quiero/,True,False,False,True,7,True
5033,Te perdono,Tango,Tango,https://www.todotango.com/musica/tema/6761/Te-perdono/,True,False,False,False,7,True
5034,Te podés acomodar (Zorro viejo),Tango,Tango,https://www.todotango.com/musica/tema/4470/Te-podes-acomodar-Zorro-viejo/,True,False,False,False,7,True
5036,Te quedaras en mi vida,Tango,Tango,https://www.todotango.com/musica/tema/2912/Te-quedaras-en-mi-vida/,True,False,False,False,7,True
5037,Te quiero,Tango,Tango,https://www.todotango.com/musica/tema/990/Te-quiero/,True,False,True,True,7,True
5038,Te quiero Buenos Aires,Tango,Tango,https://www.todotango.com/musica/tema/9847/Te-quiero-Buenos-Aires/,True,False,False,False,7,True
5040,Te quiero más,Tango,Tango,https://www.todotango.com/musica/tema/2905/Te-quiero-mas/,True,False,False,False,7,True
5041,Te tengo fe,Tango,Tango,https://www.todotango.com/musica/tema/7976/Te-tengo-fe/,True,False,False,False,7,True
5042,Te tengo que dejar,Tango,Tango,https://www.todotango.com/musica/tema/7018/Te-tengo-que-dejar/,True,False,False,False,7,True
5043,Te voy a escribir un tango,Tango,Tango,https://www.todotango.com/musica/tema/4128/Te-voy-a-escribir-un-tango/,True,False,False,False,7,True
5044,Techito rojo,Tango,Tango,https://www.todotango.com/musica/tema/5220/Techito-rojo/,True,False,False,True,7,True
5045,Tedio,Tango,Tango,https://www.todotango.com/musica/tema/1227/Tedio/,True,False,False,False,7,True
5046,Telarañas,Tango,Tango,https://www.todotango.com/musica/tema/4127/Telaranas/,True,True,False,False,7,True
5048,Temblando el adiós,Tango,Tango,https://www.todotango.com/musica/tema/3625/Temblando-el-adios/,True,True,False,False,7,True
5049,Temor,Tango,Tango,https://www.todotango.com/musica/tema/4144/Temor/,True,False,False,False,7,True
5050,Tenemos que abrirnos,Tango,Tango,https://www.todotango.com/musica/tema/2073/Tenemos-que-abrirnos/,True,False,False,False,7,True
5052,Tengo,Tango,Tango,https://www.todotango.com/musica/tema/2858/Tengo/,True,False,False,False,7,True
5053,Tengo miedo,Tango,Tango,https://www.todotango.com/musica/tema/101/Tengo-miedo/,True,True,True,True,7,True
5055,Tengo que agradecer,Tango,Tango,https://www.todotango.com/musica/tema/10039/Tengo-que-agradecer/,True,False,False,False,7,True
5056,Tengo un amigo,Tango,Tango,https://www.todotango.com/musica/tema/2150/Tengo-un-amigo/,True,False,False,False,7,True
5058,Tenía un corazón,Tango,Tango,https://www.todotango.com/musica/tema/3611/Tenia-un-corazon/,True,True,False,False,7,True
5061,Tesorito,Tango,Tango,https://www.todotango.com/musica/tema/4879/Tesorito/,True,False,False,False,7,True
5063,Testamento de arrabal,Tango,Tango,https://www.todotango.com/musica/tema/1636/Testamento-de-arrabal/,True,False,False,False,7,True
5065,Testamento tanguero,Tango,Tango,https://www.todotango.com/musica/tema/5812/Testamento-tanguero/,True,False,False,False,7,True
5066,Tibieza,Tango,Tango,https://www.todotango.com/musica/tema/5919/Tibieza/,True,False,False,True,7,True
5067,Tiburón,Tango,Tango,https://www.todotango.com/musica/tema/3601/Tiburon/,True,False,False,False,7,True
5068,Tiembla entre mis manos la guitarra,Tango,Tango,https://www.todotango.com/musica/tema/3559/Tiembla-entre-mis-manos-la-guitarra/,True,False,False,False,7,True
5069,Tiempo,Tango,Tango,https://www.todotango.com/musica/tema/1637/Tiempo/,True,False,False,False,7,True
5072,Tiempo de nadie,Tango,Tango,https://www.todotango.com/musica/tema/6495/Tiempo-de-nadie/,True,False,False,False,7,True
5074,Tiempo de tranvías,Tango,Tango,https://www.todotango.com/musica/tema/1638/Tiempo-de-tranvias/,True,False,False,True,7,True
5075,Tiempo niño,Tango,Tango,https://www.todotango.com/musica/tema/7689/Tiempo-nino/,True,False,False,False,7,True
5076,Tiempos del mismo barrio,Tango,Tango,https://www.todotango.com/musica/tema/6452/Tiempos-del-mismo-barrio/,True,False,False,False,7,True
5077,Tiempos nuevos,Tango,Tango,https://www.todotango.com/musica/tema/587/Tiempos-nuevos/,True,False,False,False,7,True
5078,Tiempos viejos,Tango,Tango,https://www.todotango.com/musica/tema/581/Tiempos-viejos/,True,False,False,True,7,True
5079,Tiene razón amigazo,Tango,Tango,https://www.todotango.com/musica/tema/3606/Tiene-razon-amigazo/,True,False,False,False,7,True
5081,Tierra del amor,Tango,Tango,https://www.todotango.com/musica/tema/8750/Tierra-del-amor/,True,False,False,False,7,True
5082,Tierra del Fuego,Tango,Tango,https://www.todotango.com/musica/tema/4958/Tierra-del-Fuego/,True,False,False,True,7,True
5084,Tierra hermana,Tango,Tango,https://www.todotango.com/musica/tema/3369/Tierra-hermana/,True,False,False,True,7,True
5085,Tierra mía,Tango,Tango,https://www.todotango.com/musica/tema/4894/Tierra-mia/,True,False,False,False,7,True
5086,Tierra negra,Tango,Tango,https://www.todotango.com/musica/tema/1869/Tierra-negra/,True,True,False,False,7,True
5087,Tierra querida,Tango,Tango,https://www.todotango.com/musica/tema/1639/Tierra-querida/,True,False,False,True,7,True
5088,Tierrita,Tango,Tango,https://www.todotango.com/musica/tema/459/Tierrita/,True,True,True,True,7,True
5089,Timbos,Tango,Tango,https://www.todotango.com/musica/tema/7369/Timbos/,True,False,False,True,7,True
5090,Tinglado,Tango,Tango,https://www.todotango.com/musica/tema/6754/Tinglado/,True,False,False,False,7,True
5091,Tinta roja,Tango,Tango,https://www.todotango.com/musica/tema/323/Tinta-roja/,True,False,True,True,7,True
5092,Tirame una serpentina,Tango,Tango,https://www.todotango.com/musica/tema/5096/Tirame-una-serpentina/,True,False,False,False,7,True
5093,Tirana,Tango,Tango,https://www.todotango.com/musica/tema/617/Tirana/,True,True,False,False,7,True
5094,Tirate un lance,Tango,Tango,https://www.todotango.com/musica/tema/740/Tirate-un-lance/,True,False,False,False,7,True
5095,Tissué,Tango,Tango,https://www.todotango.com/musica/tema/7803/Tissue/,True,False,False,False,7,True
5099,Titiriteros,Tango,Tango,https://www.todotango.com/musica/tema/1741/Titiriteros/,True,False,False,True,7,True
5100,"Tocá el bandoneón, Pedrito!",Tango,Tango,https://www.todotango.com/musica/tema/4027/Toca-el-bandoneon-Pedrito/,True,False,False,False,7,True
5102,Toco y me voy,Tango,Tango,https://www.todotango.com/musica/tema/6144/Toco-y-me-voy/,True,False,False,False,7,True
